"ivwFoodInspectionHistoryKey","foodFacilityName","latitudeCrd","longitudeCrd","ownerName","facilityAddressText","foodFacilityType","inspectingOfficerName","inspectionType","inspectionDate","inspectionStartTime","inspectionEndTime","inspectionElapsedHours","followupRequired","nextInspectionDate","facilityPersonnelName","facilityPersonnelType","managerCertificateNbr","managerCertificateExpirationDate","criticalViolationCnt","nonCriticalViolationCnt","inspectionCommentText"
"1","Johnny Rockets #299(INACTIVE)","0.0","0.0","The Johnny Rockets Group Inc","4251 Campbell Ave Ste 106, Arlington VA 22206","","","","","","","","","","","","","","","",""
"2","Fuddruckers","38.851301","-77.040244","SAS Management, Inc.","WNA-Center Pier/Loc 19, Washington DC 20001","Fast Food Restaurant","Santos Ayala","Routine","2013-03-18T00:00:00","13:00","14:00","1.0","No","2012-08-22T00:00:00","Sergio Hernandez","Certified Manager","F-101074","2016-10-08T00:00:00","0","1",""
"3","Fuddruckers","38.851301","-77.040244","SAS Management, Inc.","WNA-Center Pier/Loc 19, Washington DC 20001","Fast Food Restaurant","Christy Kunes","Routine","2014-02-27T00:00:00","14:20","15:20","1.0","No","2013-07-08T00:00:00","Mohammed Talukder","Certified Manager","F-104959","2017-08-29T00:00:00","0","3",""
"4","Fuddruckers","38.851301","-77.040244","SAS Management, Inc.","WNA-Center Pier/Loc 19, Washington DC 20001","Fast Food Restaurant","Kristen Pybus","Routine","2015-02-25T00:00:00","13:15","14:30","1.25","No","2015-02-26T00:00:00","Samuel Tesfamicael","Certified Manager","F-111469","2019-03-01T00:00:00","0","10",""
"5","Noodles & Company","38.86332457","-77.06229984","Noodles & Company","1201 S Joyce St, Arlington VA 22202","Fast Food Restaurant","Joseph Gossman","Routine","2013-04-12T00:00:00","11:55","13:25","1.5","No","2013-03-12T00:00:00","Demetrius A Johnson","Certified Manager","F105645","2017-12-03T00:00:00","0","4","""Keep It Clean"" DES poster provided."
"6","Noodles & Company","38.86332457","-77.06229984","Noodles & Company","1201 S Joyce St, Arlington VA 22202","Fast Food Restaurant","Santos Ayala","Risk Factor","2013-12-31T00:00:00","11:30","12:30","1.0","No","2013-07-01T00:00:00","Latamen Kertache","Certified Manager","F-107604","2018-03-22T00:00:00","0","1",""
"7","Noodles & Company","38.86332457","-77.06229984","Noodles & Company","1201 S Joyce St, Arlington VA 22202","Fast Food Restaurant","Joseph Gossman","Routine","2014-10-01T00:00:00","13:00","14:30","1.5","No","2014-03-21T00:00:00","Linda Barker","","F-107604","2018-03-22T00:00:00","","",""
"8","Noodles & Company","38.86332457","-77.06229984","Noodles & Company","1201 S Joyce St, Arlington VA 22202","Fast Food Restaurant","Candice Levenberry","Routine","2015-03-27T00:00:00","13:50","15:45","1.92","No","2015-01-30T00:00:00","","","","","0","7","* Install/provide sanitizer at the 3 compartment sink. Fax or email a copy of your Northern Virginia certified food managers card."
"9","Noodles & Company","38.86332457","-77.06229984","Noodles & Company","1201 S Joyce St, Arlington VA 22202","Fast Food Restaurant","Candice Levenberry","Risk Factor","2015-10-26T00:00:00","14:30","16:30","2.0","No","2016-03-28T00:00:00","Amy B. Doherty","Certified Manager","F-114599","2019-10-24T00:00:00","0","3","The gaskets in the garnish prep refrigerator were observed in poor repair. Submit the managers CFM card within 10 days or a follow-up will be conducted."
"10","The Coffee Beanery(INACTIVE)","0.0","0.0","E P Enterprises Inc","1100 S Hayes St M-152, Arlington VA 22202","","","","","","","","","","","","","","","",""
